data:max_stress_xx:value,data:max_stress_yy:value,data:max_vonmises_stress:value,data:p1_stress_xx:value,data:p1_stress_yy:value,data:p1_vonmises_stress:value,data:p2_stress_xx:value,data:p2_stress_yy:value,data:p2_vonmises_stress:value,data:p3_stress_xx:value,data:p3_stress_yy:value,data:p3_vonmises_stress:value,data:p4_stress_xx:value,data:p4_stress_yy:value,data:p4_vonmises_stress:value,data:p5_stress_xx:value,data:p5_stress_yy:value,data:p5_vonmises_stress:value,data:p6_stress_xx:value,data:p6_stress_yy:value,data:p6_vonmises_stress:value,data:p7_stress_xx:value,data:p7_stress_yy:value,data:p7_vonmises_stress:value,data:p8_stress_xx:value,data:p8_stress_yy:value,data:p8_vonmises_stress:value,data:p9_stress_xx:value,data:p9_stress_yy:value,data:p9_vonmises_stress:value
11124.71165,20059.8956,27597.07034,-1050.752593,3271.192334,3928.029069,1387.276845,8589.226498,7947.15855,-7.029490678,9727.85453,9731.188119,-0.013566449,9714.466673,9714.478959,0.001325402,9714.011385,9714.009415,-0.009205486,9714.260319,9714.268822,-7.062409056,9728.251097,9731.586654,1406.199273,8559.579594,7912.926533,-1042.118577,3277.559363,3926.060568
10760.65052,19038.11095,26356.75526,-1075.919336,3046.181596,3722.923892,1234.871108,9066.97477,8476.621175,-4.190795051,10068.91482,10071.0656,-0.043201982,10066.45611,10066.49383,0.022971622,10064.37012,10064.35857,0.042844958,10062.38058,10062.34372,-4.191981497,10068.91588,10071.0673,1234.965465,9066.902924,8476.544228,-1075.898722,3046.304476,3723.027021
10407.56554,18369.04108,25416.51926,-1061.804571,2850.970009,3522.870836,1125.257097,9108.942748,8557.8737,-3.469538063,10031.20884,10033.00657,-0.207761367,10037.65913,10037.83944,0.016963618,10027.79089,10027.7824,0.207838026,10017.98277,10017.80276,-3.480003859,10031.22926,10033.0319,1127.774073,9104.691388,8552.868662,-1060.710348,2851.666822,3522.556165
11019.06529,19841.45072,27316.83908,-1067.491364,3176.385129,3845.782425,1318.427214,8815.758579,8195.871676,-5.919935718,9886.933278,9889.862976,0.165822406,9870.376944,9870.23366,0.034113472,9878.20267,9878.185128,-0.17221126,9886.356643,9886.506478,-5.867274621,9886.758216,9889.665924,1306.995492,8833.531078,8216.547655,-1072.555319,3172.20466,3846.400246
10682.97861,19074.16897,26362.51484,-899.7040179,3389.81986,3882.666325,1142.459378,9282.118519,8723.202402,-3.005563444,10173.60687,10175.18652,-0.10366203,10176.01401,10176.10397,0.013098841,10171.07075,10171.06423,0.104124129,10166.16066,10166.07058,-3.279442151,10174.02896,10175.74362,1204.961986,9183.325175,8605.913039,-1070.359968,2978.241808,3650.647315
11060.89066,20006.83245,27546.13568,-1091.219764,3164.02914,3852.448543,1278.257607,9020.721323,8413.257595,-4.899302364,10029.76639,10032.25376,-0.119810831,10029.62492,10029.72912,0.029744121,10023.91014,10023.89509,0.118085478,10018.36064,10018.25865,-4.983855873,10029.97598,10032.50138,1296.255612,8992.325103,8379.824182,-1083.146358,3169.805237,3850.613923
11434.74123,20956.16327,28691.08827,-1032.064102,3395.110224,4035.493356,1477.453194,8465.543587,7797.331542,-7.420609919,9695.291478,9698.695888,0.152078786,9670.17945,9670.047951,-0.050497062,9677.755068,9677.778483,-0.188835047,9686.261496,9686.425794,-7.43510447,9695.15655,9698.574767,1471.639677,8475.156071,7808.558487,-1034.888998,3394.001973,4037.191476
10712.62756,19193.11666,26439.54803,-1064.205447,3011.74651,3682.243237,1061.208321,9185.705375,8756.732083,-5.068889743,9883.270105,9885.815488,0.248958152,9864.890242,9864.674766,0.030372498,9876.624046,9876.608623,-0.25190947,9888.566379,9888.785291,-4.892460536,9882.796316,9885.263513,1017.070719,9227.735644,8817.239175,-879.7928933,3423.597199,3902.337241
10807.17591,19299.05572,26651.92632,-1081.30135,3076.794336,3759.559803,1238.728411,8973.64571,8379.389117,-4.914448489,9961.803417,9964.287853,-0.079522743,9959.514599,9959.58392,0.030753279,9955.71448,9955.69887,0.077116959,9952.104401,9952.037921,-5.144212123,9962.390476,9964.977669,1286.546311,8898.14558,8290.878363,-1060.383076,3092.765091,3755.836001
11061.87043,19749.703,27256.37768,-1054.562191,3225.080728,3881.048218,1371.486786,8766.364818,8130.975556,-6.194645056,9904.082613,9907.129211,-0.139028673,9901.076003,9901.197038,0.034228582,9894.500441,9894.482752,0.131446776,9888.288807,9888.175328,-6.140604632,9903.885432,9906.910361,1358.7725,8785.896241,8153.829113,-1060.163527,3220.874015,3882.211193
